,Champions,Games Played,Winning Score,Total Kills,Total Deaths,Total Assists,Time Taken,Solo or Pre,Skin Used?,First Bloods,10 Sit ups/Loss,Game 1 Score,Game 1 Time,Game 2 Score,Game 2 Time,Game 3 Score,Game 3 Time,Game 4 Score,Game 4 Time,Game 5 Score,Game 5 Time,Game 6 Score,Game 6 Time,Game 7 Score,Game 7 Time
0,,,,,,,,,,,480.0,,,,,,,,,,,,,,
1,Aatrox,7.0,4/2/10,34.0,47.0,48.0,3:42:41,Solo,None,0.0,60.0,8/7/7,0:38:23,6/1/1,0:17:06,1/9/4,0:27:19,3/8/5,0:33:44,4/11/8,0:39:52,8/9/3,0:38:29,4/2/10,0:27:48
2,Ahri,5.0,10/3/9,31.0,28.0,34.0,2:25:07,Solo,Elderwood,0.0,40.0,1/6/4,0:20:35,5/6/2,0:24:34,3/10/5,0:30:14,12/5/4,0:35:54,10/3/9,0:33:50,,,,
3,Akali,1.0,13/9/8,13.0,9.0,8.0,0:38:43,Pre with Pogo,Infernal,0.0,0.0,13/9/8,0:38:43,,,,,,,,,,,,
4,Akshan,2.0,1/5/1,4.0,8.0,6.0,0:38:31,Pre with Pogo,None,0.0,10.0,1/5/1,0:15:57,3/3/5,0:22:34,,,,,,,,,,
5,Alistar,3.0,2/0/13,11.0,14.0,53.0,1:31:19,Pogo/Stu,SKT T1,1.0,20.0,5/8/22,0:37:34,4/6/18,0:33:08,2/0/13,0:20:37,,,,,,,,
6,Amumu,1.0,3/6/21,3.0,6.0,21.0,0:35:50,Pogo/Stu,Vancouver,0.0,0.0,3/6/21,0:35:50,,,,,,,,,,,,
7,Anivia,1.0,18/5/13,18.0,5.0,13.0,0:42:46,Solo,Blackfrost,0.0,0.0,18/5/13,0:42:46,,,,,,,,,,,,
8,Annie,2.0,12/2/10,19.0,13.0,21.0,1:06:06,Pogo/Stu,Frostfire,1.0,10.0,7/11/11,0:36:24,12/2/10,0:29:42,,,,,,,,,,
9,Aphelios,2.0,0/4/6,4.0,11.0,11.0,0:42:53,Pogo/Stu,None,0.0,10.0,4/7/5,0:20:29,0/4/6,0:22:24,,,,,,,,,,
10,Ashe,5.0,6/6/6,38.0,39.0,57.0,2:57:54,Solo,Amethyst,0.0,40.0,2/6/9,0:28:53,12/8/18,0:34:22,2/13/9,0:39:55,16/6/15,0:38:13,6/6/6,0:36:31,,,,
11,Aurelion Sol,1.0,1/4/5,1.0,4.0,5.0,0:20:41,Solo,None,0.0,0.0,1/4/5,0:20:41,,,,,,,,,,,,
12,Azir,1.0,2/3/8,2.0,3.0,8.0,0:30:59,Solo,Elderwood,0.0,0.0,2/3/18,0:30:59,,,,,,,,,,,,
13,Bard,1.0,3/11/18,3.0,11.0,18.0,0:46:09,Solo,None,0.0,0.0,3/11/18,0:46:09,,,,,,,,,,,,
14,Bel'Veth,2.0,7/8/10,17.0,17.0,19.0,1:18:42,Pogo/Stu/Jojo,None,0.0,10.0,10/9/9,0:37:07,7/8/10,0:41:35,,,,,,,,,,
15,Blitzcrank,4.0,1/0/15,10.0,23.0,42.0,1:36:40,Solo,Riot,0.0,30.0,0/5/2,0:17:53,4/7/15,0:27:59,5/11/12,0:27:37,1/0/15,0:23:11,,,,,,
16,Brand,4.0,10/6/10,29.0,48.0,55.0,2:24:25,Pogo/Stu/Pad,None,0.0,30.0,4/9/16,0:33:10,8/18/22,0:42:00,7/15/7,0:37:22,10/6/10,0:31:53,,,,,,
17,Braum,3.0,2/6/14,6.0,18.0,43.0,1:17:13,Pogo/Stu,Dragonslayer,0.0,20.0,2/10/18,0:30:29,2/2/1,0:16:18,2/6/14,0:30:26,,,,,,,,
18,Caitlyn,1.0,10/9/1,10.0,9.0,1.0,0:33:33,Pogo/Stu,None,0.0,0.0,10/9/1,0:33:33,,,,,,,,,,,,
19,Camille,3.0,6/1/1,32.0,17.0,20.0,1:36:40,Pogo/Stu/Ais,Coven,0.0,20.0,10/7/11,0:40:27,16/9/8,0:33:31,6/1/1,0:22:42,,,,,,,,
20,Cassiopeia,1.0,3/4/4,3.0,4.0,4.0,0:31:17,Pogo/Stu/Ais/Jo,Mythic,0.0,0.0,3/4/4,0:31:17,,,,,,,,,,,,
21,Cho'Gath,1.0,9/5/6,9.0,5.0,6.0,0:32:02,Pogo/Stu/Ais/Jo,Gentleman,0.0,0.0,9/5/6,0:32:02,,,,,,,,,,,,
22,Corki,2.0,9/4/11,16.0,12.0,19.0,1:00:23,Pogo/Bobbi,Urfrider,1.0,10.0,7/8/8,0:39:28,9/4/11,0:20:55,,,,,,,,,,
23,Darius,2.0,10/15/16,17.0,26.0,21.0,1:14:49,Solo,God King,0.0,10.0,7/11/5,0:32:14,10/15/16,0:42:35,,,,,,,,,,
24,Diana,3.0,10/3/9,22.0,13.0,15.0,1:04:55,Solo,Dark Valkyrie,1.0,20.0,11/6/3,0:20:58,1/4/3,0:15:52,10/3/9,0:28:05,,,,,,,,
25,Draven,1.0,3/0/5,3.0,0.0,5.0,0:16:10,Solo,None,0.0,0.0,3/0/5,0:16:10,,,,,,,,,,,,
26,Dr. Mundo,1.0,3/1/6,3.0,1.0,6.0,0:23:18,Solo,Corporate,0.0,0.0,3/1/6,0:23:18,,,,,,,,,,,,
27,Ekko,2.0,6/1/9,9.0,8.0,12.0,0:52:50,Pogo/Stu/Jojo,Pulsefire,0.0,10.0,3/7/3,0:31:34,6/1/9,0:21:16,,,,,,,,,,
28,Elise,2.0,8/8/5,16.0,19.0,23.0,1:09:25,Solo,Victorious,1.0,10.0,8/11/17,0:38:37,8/8/5,0:30:48,,,,,,,,,,
29,Evelynn,1.0,3/0/2,3.0,0.0,2.0,0:10:43,Solo,Shadow,0.0,0.0,3/0/2,0:10:43,,,,,,,,,,,,
30,Ezreal,1.0,11/4/9,11.0,4.0,9.0,0:30:04,Pogo,Battle Ac,0.0,0.0,11/4/9,0:30:04,,,,,,,,,,,,
